feature,p.value_tx,FDR_tx,logFC_tx,p.value_time,FDR_time,p.value_interaction,FDR_interaction,tx,time,Mean_Ice_15,Mean_Ice_30,Mean_Ice_60,Mean_Ice_90,Mean_RT_15,Mean_RT_30,Mean_RT_60,Mean_RT_90
C18_150.988808417653_115.953172289005,0.6058641687131572,0.9969365741869346,-0.1959107185175891,0.5819537409469668,1,0.6152203923128932,1,Ice,90,NA,NA,NA,22.057354136122594,NA,NA,NA,NA
C18_150.988808417653_115.953172289005,0.6058641687131572,0.9969365741869346,-0.1959107185175891,0.5819537409469668,1,0.6152203923128932,1,RT,15,NA,NA,NA,NA,21.891340776251887,NA,NA,NA
C18_150.988808417653_115.953172289005,0.6058641687131572,0.9969365741869346,-0.1959107185175891,0.5819537409469668,1,0.6152203923128932,1,RT,30,NA,NA,NA,NA,NA,22.448947410471288,NA,NA
C18_150.988808417653_115.953172289005,0.6058641687131572,0.9969365741869346,-0.1959107185175891,0.5819537409469668,1,0.6152203923128932,1,RT,60,NA,NA,NA,NA,NA,NA,22.370588377521067,NA
C18_150.988808417653_115.953172289005,0.6058641687131572,0.9969365741869346,-0.1959107185175891,0.5819537409469668,1,0.6152203923128932,1,RT,90,NA,NA,NA,NA,NA,NA,NA,22.19389731904087
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,Ice,15,21.77675389164968,NA,NA,NA,NA,NA,NA,NA
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,Ice,30,NA,21.253765352101855,NA,NA,NA,NA,NA,NA
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,Ice,60,NA,NA,21.42401895019737,NA,NA,NA,NA,NA
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,Ice,90,NA,NA,NA,21.522631285028865,NA,NA,NA,NA
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,RT,15,NA,NA,NA,NA,21.60871640061743,NA,NA,NA
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,RT,30,NA,NA,NA,NA,NA,21.202849318239906,NA,NA
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,RT,60,NA,NA,NA,NA,NA,NA,21.713067140998312,NA
HILIC_151.000875314581_184.269075640841,0.6659496739255162,0.9969365741869346,-0.16803749103224938,0.5937796727534005,1,0.8844415451232877,1,RT,90,NA,NA,NA,NA,NA,NA,NA,21.45613058893265
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,Ice,15,21.15427310879125,NA,NA,NA,NA,NA,NA,NA
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,Ice,30,NA,20.893183157324902,NA,NA,NA,NA,NA,NA
