feature,contrast,t.score,p.value,FDR,logFC,Rank
C18_109.029495695892_291.548773979829,RT_vs_Ice,-0.22685904647566346,0.8214797505726886,0.9999999999999998,-0.062483787418759706,70
C18_109.985991239671_59.0742156193211,RT_vs_Ice,-0.7196627863231101,0.47516075491772825,0.9969365741869346,-0.09956599984133303,71
C18_110.024790931654_289.053577505297,RT_vs_Ice,0.04652546607308189,0.9630810641116103,0.9999999999999998,0.007025871362943661,72
C18_110.024774648875_96.0111907298408,RT_vs_Ice,1.3748346475570843,0.17545445886354502,0.9911398709670876,0.43902147186307744,73
HILIC_110.027024299473_76.4363292976869,RT_vs_Ice,1.360705518241271,0.17985011934756942,0.9911398709670876,0.9671399448607172,74
HILIC_110.034886618901_46.7030053315073,RT_vs_Ice,-1.0477279040602967,0.29991879497781276,0.9969365741869346,-1.9335948104711485,75
HILIC_110.057100864772_102.100457110496,RT_vs_Ice,-2.3622512653103453,0.022192104231162375,0.916441050453306,-3.2028635830477015,76
HILIC_110.059994489462_38.2919873651856,RT_vs_Ice,0.2879088527523885,0.7746341293263292,0.9999999999999998,0.1320874562025211,77
HILIC_110.060075958365_296.127202061257,RT_vs_Ice,-1.0838198159069514,0.28376354406553944,0.9969365741869346,-0.4139901889862849,78
C18_110.07238912442_36.295078012767,RT_vs_Ice,-0.3608914172479335,0.719736187563625,0.9976445116039421,-0.09334512814076598,79
C18_111.008790199802_24.2942383015937,RT_vs_Ice,-0.23466067318070666,0.8154526410169458,0.9999999999999998,-0.0712636628359459,80
C18_111.020016818832_26.0856629119073,RT_vs_Ice,1.8973695808467836,0.06369638947138481,0.9728307619644055,0.5817307240775755,81
HILIC_111.044013383113_28.9758580319263,RT_vs_Ice,0.682461583008145,0.4981697542362735,0.9969365741869346,0.2457985950779079,82
HILIC_111.044056520852_282.924323039856,RT_vs_Ice,-1.5403343846508841,0.12993026225680818,0.9728307619644055,-0.3687828570965833,83
HILIC_111.055295383678_106.259344156717,RT_vs_Ice,0.006890814789510925,0.994530024596895,0.9999999999999998,0.0026660793553461904,84
HILIC_111.077575365425_102.107801981628,RT_vs_Ice,-1.7442490958833394,0.08740349525692455,0.9728307619644055,-1.0940504638975572,85
HILIC_111.091602981547_40.8099578720852,RT_vs_Ice,-1.5575777221011053,0.1257871044876256,0.9728307619644055,-0.7957044853212228,86
HILIC_112.039319527911_287.763500681126,RT_vs_Ice,0.007465734241885985,0.9940736579650122,0.9999999999999998,0.0019250124924892638,87
C18_112.040468674517_290.066981881101,RT_vs_Ice,-1.2710977793549265,0.20971153471232362,0.9919786918293934,-0.17739225069901426,88
HILIC_112.050556239361_262.762548946029,RT_vs_Ice,-0.17378850867076984,0.8627496418760723,0.9999999999999998,-0.06865464044345528,89
C18_112.051678209249_25.571099628875,RT_vs_Ice,-0.9555688089863272,0.34399381907763116,0.9969365741869346,-0.18114347051376684,90
HILIC_112.9558867864_292.220682815157,RT_vs_Ice,-0.11154417602706374,0.9116417651590635,0.9999999999999998,-0.17580305274895497,91
C18_112.980916289958_71.870616282665,RT_vs_Ice,0.23077996785042096,0.8184492788615467,0.9999999999999998,0.13920109654360094,92
C18_113.024452920111_27.8125213508639,RT_vs_Ice,-0.066307056761778,0.9474039161192642,0.9999999999999998,-0.01588858088640912,93
HILIC_113.034576754656_288.162984857641,RT_vs_Ice,0.4485200705989351,0.6557605491616978,0.9969365741869346,0.3165511884066712,94
HILIC_113.059646701316_28.5823538203532,RT_vs_Ice,0.9836655612001374,0.33012554502596925,0.9969365741869346,0.5247108448704154,95
C18_113.060851914231_288.361525210975,RT_vs_Ice,-0.21338482415692342,0.8319146256752928,0.9999999999999998,-0.027959124087224712,96
C18_114.0196612282_22.1540643415415,RT_vs_Ice,0.6633777126667565,0.5102063113782622,0.9969365741869346,0.19952902887440546,97
HILIC_114.054982427288_295.975236365482,RT_vs_Ice,0.13537673808707712,0.8928701497032876,0.9999999999999998,0.06985506116874592,98
C18_114.056047977847_28.7091682034316,RT_vs_Ice,0.8319810158121412,0.4094671943295576,0.9969365741869346,0.11315533964177293,99
HILIC_114.102615344399_216.252670258221,RT_vs_Ice,-1.0111170545014379,0.31694109180544033,0.9969365741869346,-0.575246719481239,100
C18_115.003689174139_21.3887321151838,RT_vs_Ice,1.0949282557072804,0.27891574841739986,0.9969365741869346,0.43114623635110283,101
C18_115.04007962544_189.808809179665,RT_vs_Ice,0.9529433625711469,0.3453090338393433,0.9969365741869346,0.5255887906891711,102
C18_115.051323027058_285.680997920304,RT_vs_Ice,-0.7705252251497696,0.44469796150977603,0.9969365741869346,-0.30290434639864705,103
HILIC_115.075327317972_28.9152694634414,RT_vs_Ice,0.6210697128290187,0.5374402395754321,0.9969365741869346,0.3467120703873153,104
C18_115.076485663254_286.418781519174,RT_vs_Ice,-0.07011928545145543,0.9443848963307393,0.9999999999999998,-0.032763093078671625,105
C18_115.998985149711_295.147865912406,RT_vs_Ice,1.1167419700747188,0.26956582611303553,0.9969365741869346,0.4134216273579212,106
C18_116.035328434598_21.6194549942887,RT_vs_Ice,-2.338211192453605,0.023513666631412754,0.916441050453306,-0.6667575314456488,107
C18_116.04657006625_26.929876743966,RT_vs_Ice,-1.1502269027977152,0.2556485119021872,0.9969365741869346,-2.6385903957393917,108
C18_116.050583361228_29.0358036049835,RT_vs_Ice,-3.3578275376180735,0.001528802380765839,0.5645648791828134,-3.018822826716369,109
HILIC_116.070583889372_58.924856258073,RT_vs_Ice,0.19166536356234332,0.8487985717089241,0.9999999999999998,0.028055922508791204,110
C18_117.01936898612_23.4537145220123,RT_vs_Ice,0.18222751447897242,0.8561580687944992,0.9999999999999998,0.07829766323256704,111
C18_117.055740920098_25.9640984136594,RT_vs_Ice,-0.28624669431211264,0.7758992848935956,0.9999999999999998,-0.045940612704181254,112
HILIC_117.069854303853_30.595138851259,RT_vs_Ice,0.8567514762960625,0.39576447824180694,0.9969365741869346,0.5785795358304301,113
C18_117.071607291128_248.539321760895,RT_vs_Ice,-1.1907921149018421,0.2394877307578494,0.9969365741869346,-0.31765987134132934,114
HILIC_117.090984892665_94.9535730701852,RT_vs_Ice,1.1704184852981563,0.2475091813980491,0.9969365741869346,0.7188676369288742,115
HILIC_117.102229826406_89.8752306803247,RT_vs_Ice,-1.8306748089655098,0.07325078214703962,0.9728307619644055,-1.0528856031812115,116
C18_118.05102256941_28.6776792705149,RT_vs_Ice,0.5848637622066207,0.5613303439165854,0.9969365741869346,0.07339744761647092,117
HILIC_118.061185861119_80.396276598971,RT_vs_Ice,1.3798457829927584,0.17391546554965287,0.9911398709670876,0.7386972996523796,118
HILIC_118.086213874401_65.8643870892644,RT_vs_Ice,1.552512028010652,0.12699311480312445,0.9728307619644055,0.4209512329996699,119
HILIC_118.122575063554_40.3834327023856,RT_vs_Ice,-0.8011800469612492,0.426906081578721,0.9969365741869346,-0.301215502996925,120
HILIC_118.971635579902_20.044262330998,RT_vs_Ice,-1.2948041018129497,0.20147267837012892,0.9911398709670876,-0.5895431228500195,121
HILIC_119.016095932656_60.8187275344314,RT_vs_Ice,0.9183539193173493,0.36294453817731,0.9969365741869346,0.9128145969821867,122
C18_119.034952970898_26.0995523863469,RT_vs_Ice,0.1407354615798207,0.8886574883946122,0.9999999999999998,0.02864475764469704,123
C18_119.050240954844_27.2826875981108,RT_vs_Ice,-2.521264869156657,0.015005827247213154,0.9027644599238707,-1.7892379829258531,124
C18_120.012460700876_29.027520585875,RT_vs_Ice,1.9370543946699361,0.058531147118145485,0.9728307619644055,0.8958182394170785,125
HILIC_120.055647017061_288.491819376709,RT_vs_Ice,-1.4327542317920532,0.1582950099445449,0.9911398709670876,-0.6282816262877858,126
HILIC_120.06551347401_73.4803573299029,RT_vs_Ice,0.6713015103821109,0.5051896567300449,0.9969365741869346,0.0987255559504021,127
HILIC_120.101905299356_50.5691763185807,RT_vs_Ice,1.1181739014068977,0.2689599087190232,0.9969365741869346,0.7062345891490632,128
HILIC_121.028411972563_20.4447987544673,RT_vs_Ice,-1.0496525733884645,0.2990416301218309,0.9969365741869346,-0.18583452294722075,129
HILIC_121.028481030383_166.115420728684,RT_vs_Ice,1.4128336622637512,0.1640427093527428,0.9911398709670876,0.9739439333758562,130
C18_121.029535463785_285.265134420498,RT_vs_Ice,-0.21759170470506908,0.8286533055087915,0.9999999999999998,-0.060750658216450135,131
C18_121.029505768162_227.664910179183,RT_vs_Ice,-0.47843063804523256,0.6344774575193144,0.9969365741869346,-0.32425465973285433,132
HILIC_121.064800086066_284.621615796045,RT_vs_Ice,-0.12627094595918958,0.9000355868784555,0.9999999999999998,-0.04183820247280046,133
HILIC_121.101143704154_28.296168905849,RT_vs_Ice,0.8648779730866827,0.39133191930633393,0.9969365741869346,0.44531246505021294,134
C18_122.024777458925_120.358592978176,RT_vs_Ice,1.0913889504348273,0.28045398104899866,0.9969365741869346,0.5558322903363032,135
HILIC_122.026990701039_62.6460154625112,RT_vs_Ice,1.0190728012569188,0.3131875429197668,0.9969365741869346,1.0039590014782271,136
HILIC_122.060031775516_291.895949155826,RT_vs_Ice,1.7820711725568124,0.08095180351739359,0.9728307619644055,0.6502226356802256,137
HILIC_122.081183403016_20.156097529039,RT_vs_Ice,0.4074824884957399,0.6854333679178587,0.9969365741869346,0.13577979767528392,138
HILIC_122.096394386556_35.6861352730482,RT_vs_Ice,0.9405114008271498,0.35158162281863203,0.9969365741869346,0.1311051295651139,139
C18_122.98530565179_35.0064776696614,RT_vs_Ice,0.8017398836960007,0.42658518084192343,0.9969365741869346,0.3807143745169243,140
C18_123.008832658177_288.246209950871,RT_vs_Ice,0.7943204994153801,0.43084976583180457,0.9969365741869346,0.1372462571692479,141
C18_123.020056411494_294.053508069851,RT_vs_Ice,-0.19598314102024428,0.8454361147921428,0.9999999999999998,-0.05810655657663136,142
HILIC_123.055215009781_38.189073665485,RT_vs_Ice,1.1467545073568852,0.25706736489862714,0.9969365741869346,0.4290332872054298,143
HILIC_123.080400629297_30.7803993596584,RT_vs_Ice,0.6092369004095427,0.5451897574569294,0.9969365741869346,0.3057050693194504,144
HILIC_123.091686445192_246.561561524899,RT_vs_Ice,-0.26251049899044737,0.7940314853956769,0.9999999999999998,-0.1116211722147661,145
C18_124.007376460119_26.0531955778228,RT_vs_Ice,0.9750969416300073,0.3343148399326227,0.9969365741869346,0.37768027056280906,146
HILIC_124.015828742278_95.1866766315924,RT_vs_Ice,1.2526875993188198,0.21628133095289911,0.9969365741869346,0.9891434152472618,147
HILIC_124.039359651743_145.77506184789,RT_vs_Ice,-0.7566488447476817,0.45289309171960435,0.9969365741869346,-0.5106581310150227,148
C18_124.051674741195_82.033093895425,RT_vs_Ice,-0.30598568295692624,0.7609154171666644,0.9976445116039421,-0.29473905293274044,149
HILIC_124.075728937417_284.133074647362,RT_vs_Ice,0.8318646357285283,0.40953225382482605,0.9969365741869346,0.23795555612560162,150
HILIC_124.075716338764_36.9633635031312,RT_vs_Ice,-0.4002344357846356,0.6907282605699656,0.9969365741869346,-0.27668173797456913,151
HILIC_124.086983126717_123.059936117414,RT_vs_Ice,0.14787232047218318,0.8830520297787909,0.9999999999999998,0.06058106641650867,152
