feature,contrast,F.score,p.value,FDR,Rank
C18_143.034968279357_266.509250524494,Interaction,0.6784420824047714,0.5694559280775121,1,299
C18_143.034976640139_28.7087402886141,Interaction,0.21132918150053473,0.888075684908435,1,300
HILIC_143.048606093972_174.801518723307,Interaction,0.9168563856020611,0.4397231289623731,1,301
HILIC_143.070374426724_281.798814103923,Interaction,1.1574623791570535,0.335527242402586,1,302
C18_143.071338064025_25.1891408334116,Interaction,0.08064354757987525,0.9702299607073583,1,303
HILIC_143.081497599026_93.7774798911948,Interaction,0.2573184075719741,0.85575106664984,1,304
HILIC_143.081576131453_240.895140236295,Interaction,0.49262470265824676,0.6890487475696272,1,305
HILIC_143.106747938047_288.494404070291,Interaction,0.43021488803618035,0.7322720674810175,1,306
C18_143.107738311041_230.919527735251,Interaction,2.265551178829051,0.09256392242237557,1,307
C18_144.012496498406_26.9391532215358,Interaction,0.5965443801426836,0.6202985674481895,1,308
C18_144.030250992784_288.103111983552,Interaction,1.4814133482277643,0.23118056378778246,1,309
C18_144.04553259938_286.62529620779,Interaction,2.482201381281619,0.07188321566210906,1,310
HILIC_144.047813756094_72.7478225831636,Interaction,0.5366217252407943,0.6594030980088562,1,311
HILIC_144.065604450406_297.632756868805,Interaction,0.33523428600161986,0.799902661830238,1,312
C18_144.066609192242_23.3647336670245,Interaction,0.34956842929259035,0.7896107157796197,1,313
HILIC_144.080814501859_47.5542068455586,Interaction,0.5432509552189843,0.6550023724482378,1,314
C18_145.014255040112_21.6769411671531,Interaction,0.9056904283252307,0.4451907267536581,1,315
HILIC_145.049524437207_48.9662019304669,Interaction,0.14237272979828952,0.9340677015613319,1,316
HILIC_145.049593247424_284.331549912931,Interaction,2.2242094635550984,0.09714591214396087,1,317
C18_145.061895333097_26.7982057630586,Interaction,0.22510246677364745,0.8784875467236042,1,318
HILIC_145.097204497943_199.965459255288,Interaction,0.5623660735560224,0.6424149649666373,1,319
C18_145.09829409997_67.6409522671376,Interaction,0.7047159914734669,0.5538136461319394,1,320
HILIC_145.107985438005_65.3053570503811,Interaction,0.9417797235685609,0.4277292612020176,1,321
C18_145.97675541359_71.8573568695843,Interaction,0.6717219462439357,0.5735097228941958,1,322
C18_146.017668430246_20.5228005183023,Interaction,0.9897348880353212,0.4054579068687767,1,323
C18_146.024777358978_287.728689734192,Interaction,1.2570087987369911,0.29946880599057607,1,324
C18_146.045895429823_22.1205382172459,Interaction,0.705654144432843,0.5532612347115144,1,325
HILIC_146.060056160408_98.2486455535145,Interaction,1.8605048837568257,0.14863968748145887,1,326
HILIC_146.081138165092_86.2645316627198,Interaction,0.844526163572821,0.4761885648779691,1,327
C18_146.082291253901_27.980059776366,Interaction,1.0900470898966343,0.36219293074845926,1,328
HILIC_146.117527511084_51.344594330973,Interaction,1.1841769514340572,0.3254718856563166,1,329
HILIC_146.165332699274_225.633319044962,Interaction,2.1715572689694667,0.10331341318403776,1,330
C18_146.993544132858_294.043797885198,Interaction,1.101955360871171,0.3573454485009754,1,331
HILIC_147.004475446876_31.3776667029848,Interaction,0.33914909795232695,0.7970904360745287,1,332
C18_147.029904162738_22.7004012866307,Interaction,3.545001805637328,0.021119264342923664,1,333
HILIC_147.05535094975_282.313865447717,Interaction,2.137833319333446,0.10746891828412554,1,334
C18_147.066294175418_22.5965407011424,Interaction,0.2858398179031641,0.8353825878173504,1,335
HILIC_147.076401295924_85.305521582854,Interaction,0.5364718016373579,0.6595028297542868,1,336
HILIC_147.079901847125_86.7173031316236,Interaction,0.2364752119389907,0.870504583788579,1,337
HILIC_147.091130245035_84.22285379242,Interaction,1.4472998284015697,0.24049999529214688,1,338
HILIC_147.112807546088_109.877178561485,Interaction,0.6390587935430946,0.5935168976570446,1,339
HILIC_147.11653709096_106.54689132615,Interaction,0.8269296528977992,0.48543792848610834,1,340
HILIC_148.039357400196_288.835424513273,Interaction,0.8047376025104335,0.4973159237999657,1,341
C18_148.040432745592_37.1170079621042,Interaction,0.4070572865370628,0.7486007678719884,1,342
C18_148.040450134541_125.259276398765,Interaction,1.0216125898169612,0.39122946543425174,1,343
C18_148.043806350514_28.3189879291301,Interaction,0.6892025515216944,0.5630096877464106,1,344
HILIC_148.060402532525_77.7269784909342,Interaction,0.683266052589383,0.5665592135830811,1,345
HILIC_148.070785271947_79.5751256313425,Interaction,0.48819391026002595,0.6920745875914066,1,346
HILIC_148.075753883908_282.625851182366,Interaction,0.0942328665897717,0.962871975326876,1,347
HILIC_148.079705277727_83.0976517522338,Interaction,0.4745120530610835,0.7014618091340579,1,348
HILIC_148.096843597161_225.786102948668,Interaction,0.6205661487584314,0.6050647716923079,1,349
HILIC_148.961272743053_20.29847969075,Interaction,0.6284728070931014,0.6001080955329352,1,350
HILIC_148.993438505111_72.3377169019516,Interaction,0.5260090364178055,0.6664851794254258,1,351
HILIC_149.023381045586_289.791979065667,Interaction,1.1077963713739265,0.35498954567171664,1,352
HILIC_149.059718456758_30.1401365570088,Interaction,0.35727424666772756,0.7840851831742085,1,353
HILIC_149.059775869504_294.149974807104,Interaction,1.145736827991259,0.340031098759684,1,354
C18_149.060822801403_96.469679703394,Interaction,0.8973433262957324,0.4493163434929057,1,355
C18_149.060759041016_32.138501641171,Interaction,0.33290084686921995,0.8015792706952384,1,356
HILIC_149.080709973057_83.7255971215895,Interaction,0.42711998995769135,0.734446326206855,1,357
C18_150.04215162518_36.1121869271759,Interaction,1.423430451067259,0.24723529578103973,1,358
HILIC_150.055046053791_283.79237008731,Interaction,0.1731477818952214,0.9140455995875136,1,359
C18_150.05602294551_30.5064570091913,Interaction,0.2972067046564372,0.827229058524617,1,360
C18_150.056093983243_87.6942454928968,Interaction,0.574338891837495,0.6346096213519108,1,361
HILIC_150.058342033008_53.2025905302666,Interaction,0.29474201040093356,0.8289981379463885,1,362
C18_150.059220183064_23.0969403331325,Interaction,0.5761013309232057,0.6334658663329751,1,363
HILIC_150.077521473633_269.101804586772,Interaction,2.0371616238499644,0.12089779071324969,1,364
HILIC_150.091389067621_281.850268693226,Interaction,0.1214854068019084,0.9470150365569604,1,365
C18_150.988808417653_115.953172289005,Interaction,0.6045064959607127,0.6152203923128932,1,366
HILIC_151.000875314581_184.269075640841,Interaction,0.21656582369786248,0.8844415451232877,1,367
C18_151.007032987134_290.392871887466,Interaction,0.026544849002161607,0.994083460133759,1,368
C18_151.007023483601_23.0823673415685,Interaction,0.2260000126031736,0.8778595420661344,1,369
HILIC_151.017174765442_80.104837895343,Interaction,0.2637542003396859,0.8511698559232079,1,370
HILIC_151.024163820467_186.14000319154,Interaction,0.8451101974285834,0.47588413007298613,1,371
C18_151.026156447712_27.6074604220987,Interaction,0.8508467993570357,0.472902562100308,1,372
HILIC_151.038882451136_183.017834772226,Interaction,0.26621207261769986,0.8494176254230902,1,373
C18_151.04006632282_291.096013475453,Interaction,0.7017286356010434,0.5555755068175628,1,374
C18_151.040056884247_31.1604084398338,Interaction,1.1215192779691288,0.34951056820619375,1,375
C18_151.04006995784_171.423542667423,Interaction,1.4754949652293174,0.23277198076549843,1,376
C18_151.051321266184_35.8593875705717,Interaction,0.20598059955446157,0.8917719254923856,1,377
HILIC_151.075414373981_281.492123591844,Interaction,0.17892491867821986,0.9101854123817568,1,378
HILIC_151.08665498027_283.69613520431,Interaction,2.2251046370515195,0.09704431961084252,1,379
HILIC_151.111732061032_28.2314979419682,Interaction,0.012184988251824201,0.998134623920307,1,380
HILIC_151.111826617788_289.626484694407,Interaction,3.0492894500663335,0.03724669798323083,1,381
C18_151.98454467589_32.7021002631148,Interaction,0.7112908713320045,0.5499510876593482,1,382
C18_152.002307498826_20.8561388346458,Interaction,2.846610145762746,0.04707091594591767,1,383
HILIC_152.010866657103_49.5611537828668,Interaction,1.8133252581664525,0.15706450720675802,1,384
C18_152.011783878025_34.6461137461208,Interaction,1.2273713763612475,0.30980587813082205,1,385
C18_152.035345405893_82.4567278415146,Interaction,0.17386905458823185,0.9135652114956392,1,386
C18_152.035308918184_293.562613852667,Interaction,1.1831504883740593,0.32585301173750714,1,387
C18_152.046578305147_293.131792745143,Interaction,1.4195733440693319,0.24834057479845478,1,388
HILIC_152.048835385916_83.2781691314858,Interaction,0.36665148067348174,0.7773703519127031,1,389
HILIC_152.056712001714_55.6137439288758,Interaction,1.519011419901262,0.22131406835756995,1,390
HILIC_152.081902638085_282.413273773882,Interaction,0.7617367166594848,0.5210107244956925,1,391
HILIC_152.107053550663_283.323414540692,Interaction,2.4297458834209396,0.0764168412738143,1,392
C18_152.986301191803_21.8885239535762,Interaction,1.8762162563190954,0.14593486723094637,1,393
HILIC_152.99505522459_292.708590052809,Interaction,0.8463826215533198,0.4752214308103926,1,394
C18_153.005618173547_26.6907950375368,Interaction,1.8012409123544246,0.1592974476959967,1,395
C18_153.019353070848_287.841615199245,Interaction,1.3348181346766121,0.27385858935162105,1,396
C18_153.030580482151_288.487101389292,Interaction,1.8415048746446456,0.15197721442453407,1,397
HILIC_153.039486124558_261.883256942356,Interaction,0.5683188229472224,0.6385265429961106,1,398
HILIC_153.054634186791_31.3100705906666,Interaction,0.24146954002850174,0.8669826474820528,1,399
HILIC_153.065834530186_38.8792299753183,Interaction,0.20336108891296806,0.8935761053043303,1,400
C18_153.067024778572_82.8708828146349,Interaction,1.113537664619325,0.3526877589883728,1,401
C18_153.066969316643_291.95313110423,Interaction,0.6912337101020372,0.5617990950625918,1,402
HILIC_153.127408614066_285.992670148137,Interaction,0.1595699437855601,0.9229997723957046,1,403
HILIC_153.999155794877_183.935998099988,Interaction,0.0647792487744932,0.9782453276367429,1,404
C18_154.014618758966_285.464654481182,Interaction,0.1831896678701732,0.9073181580160835,1,405
HILIC_154.047256391242_75.7347729314798,Interaction,0.4045919015978957,0.7503468253790304,1,406
HILIC_154.049878103445_284.916250607401,Interaction,1.0535447228665453,0.37742806889430147,1,407
C18_154.050879699201_35.9437377399476,Interaction,1.0233327544950197,0.39047456081203585,1,408
C18_154.062217288717_35.9196579746965,Interaction,0.5395992721710495,0.6574242744591958,1,409
C18_154.07367184997_37.0970673834779,Interaction,0.7509272470755493,0.5271082215433283,1,410
HILIC_154.097596404872_38.7078574153225,Interaction,2.0661037198647514,0.11687361503736977,1,411
HILIC_154.980246499666_167.336819184951,Interaction,0.9634655026576149,0.41752757500931037,1,412
C18_154.990041317533_260.244115665803,Interaction,1.7542721984524987,0.16827843605939052,1,413
C18_155.00980958977_263.038606145541,Interaction,1.7679874222438317,0.16560541765484274,1,414
HILIC_155.010378653505_96.236062831971,Interaction,0.9591164579835334,0.4195561577282463,1,415
C18_155.046252774064_289.94359940704,Interaction,1.9098839402554546,0.14030232066778536,1,416
HILIC_155.070229918779_25.8579387593886,Interaction,0.10497477958174978,0.9567815533392598,1,417
C18_155.107778647955_37.6932062753312,Interaction,0.2602712638777398,0.8536504169095345,1,418
C18_156.030264912318_287.703032328953,Interaction,2.390454999034608,0.08000125461862363,1,419
HILIC_156.0382632604_65.3071795705313,Interaction,1.155179529901895,0.33639974444727877,1,420
HILIC_156.041912927204_63.4029850149593,Interaction,1.217209857085714,0.3134265364865879,1,421
HILIC_156.06551021055_283.885530071703,Interaction,0.07991182567128327,0.9706140573447855,1,422
HILIC_156.065945736735_65.5360458928035,Interaction,0.9105117459624448,0.4428227045057357,1,423
