feature,contrast,F.score,p.value,FDR,Rank
HILIC_100.075634567049_36.2333927470486,Time_effect,0.35276106210975594,0.7873206698794348,1,40
HILIC_100.11202817965_36.3467633079489,Time_effect,3.8315068482673142,0.015271617760180486,1,41
C18_101.024404810673_26.5472072496011,Time_effect,0.525160466991141,0.6670533890296559,1,42
HILIC_101.059721940168_294.491520331747,Time_effect,0.1708150892609482,0.9155961081206162,1,43
HILIC_101.059712915613_95.9247687966243,Time_effect,0.4645281546844941,0.7083521338463841,1,44
C18_101.060771783514_33.2974601878257,Time_effect,0.2841676151210834,0.836580774078635,1,45
HILIC_101.070944979669_84.759203644256,Time_effect,0.13432641527244374,0.939125627562406,1,46
HILIC_102.054944378965_77.7703186188898,Time_effect,0.16883410725681014,0.9169090119210288,1,47
C18_102.056066169871_22.7226744566593,Time_effect,0.25716118987047815,0.8558628465282041,1,48
HILIC_102.091326342836_55.1255367196625,Time_effect,0.2818632850826241,0.838231256119502,1,49
HILIC_102.127716515679_94.4023629876109,Time_effect,0.19152147216072013,0.9016763386416595,1,50
C18_103.003715477395_18.2914003941751,Time_effect,0.5348888219586553,0.6605564103132129,1,51
HILIC_103.038932728251_60.0367902882659,Time_effect,0.1157239599760328,0.9504746138755307,1,52
C18_103.040090045889_28.0576391298246,Time_effect,0.48670076459208467,0.6930958564871512,1,53
HILIC_103.054184083176_49.1821458797801,Time_effect,0.05925216884788211,0.980869954671526,1,54
HILIC_104.008125583666_270.975505180789,Time_effect,1.013005068391484,0.39502664901971896,1,55
C18_104.035357996175_28.0461477355041,Time_effect,0.047284250411151724,0.9862076011207863,1,56
HILIC_104.070569221783_54.7384193228796,Time_effect,0.02934078740368762,0.9931427112549677,1,57
HILIC_104.992319723424_64.0513049135099,Time_effect,1.169942961621287,0.33079416617837015,1,58
HILIC_105.069900666681_286.119958641775,Time_effect,4.0776098475045055,0.011586876906213059,1,59
HILIC_106.049875652409_83.2485660116225,Time_effect,0.03642109584382565,0.9905798300484578,1,60
HILIC_106.068375124244_166.484219601047,Time_effect,1.2395134074376222,0.30553100763687724,1,61
HILIC_106.086246748333_50.8210591246551,Time_effect,0.15226361531941474,0.9277422221984284,1,62
C18_107.050272026065_26.8572527880878,Time_effect,1.3908230842701277,0.2567300648426468,1,63
HILIC_107.085470842481_28.5869347120405,Time_effect,1.6105138221389894,0.19898192062255915,1,64
HILIC_108.044386599189_294.372880722605,Time_effect,1.2896240199950975,0.2884692248827488,1,65
C18_108.045545636979_87.9768113778569,Time_effect,0.18705474186283488,0.9047073595454965,1,66
HILIC_108.080731306472_38.3179249794503,Time_effect,0.4432431385632439,0.7231485965604376,1,67
HILIC_109.028443723037_270.507947776158,Time_effect,0.024096481411992776,0.9948709399390365,1,68
C18_109.029532843221_90.061618937608,Time_effect,0.4533461159131948,0.7161078789559009,1,69
C18_109.029495695892_291.548773979829,Time_effect,0.8245140979895269,0.48671927999972575,1,70
C18_109.985991239671_59.0742156193211,Time_effect,0.059734537127077575,0.9806446761565177,1,71
C18_110.024790931654_289.053577505297,Time_effect,0.19665543674858696,0.8981752063894569,1,72
C18_110.024774648875_96.0111907298408,Time_effect,0.4131099371064816,0.744320095163395,1,73
HILIC_110.027024299473_76.4363292976869,Time_effect,0.7203481731323685,0.5446642978632711,1,74
HILIC_110.034886618901_46.7030053315073,Time_effect,0.6645965727010011,0.5778313776932398,1,75
HILIC_110.057100864772_102.100457110496,Time_effect,1.3822546385867236,0.2592825425597045,1,76
HILIC_110.059994489462_38.2919873651856,Time_effect,0.10414353949587907,0.9572607461268774,1,77
HILIC_110.060075958365_296.127202061257,Time_effect,1.902324969324227,0.14154780385361251,1,78
C18_110.07238912442_36.295078012767,Time_effect,0.3127441770514603,0.8160671962729565,1,79
C18_111.008790199802_24.2942383015937,Time_effect,0.058253190959301315,0.9813341336340338,1,80
C18_111.020016818832_26.0856629119073,Time_effect,0.21991338004508426,0.8821109651253843,1,81
HILIC_111.044013383113_28.9758580319263,Time_effect,0.44467583335818645,0.7221482909888856,1,82
HILIC_111.044056520852_282.924323039856,Time_effect,2.154937278963081,0.1053407887704447,1,83
HILIC_111.055295383678_106.259344156717,Time_effect,0.40034723568908126,0.7533562096672182,1,84
